,place_code,ItemID,address,local,category
31,STORE_JRO0032,계열사,서울 종로구 백석동길 7,(지번) 부암동 258-3,치킨
32,STORE_JRO0033,정돈,서울 종로구 대학로9길 12 지하1층,(지번) 명륜4가 107,"돈까스,우동"
33,STORE_JRO0034,프릳츠 원서점,서울 종로구 율곡로 83,(지번) 원서동 221-1,카페
34,STORE_JRO0035,아델라베일리,서울 종로구 북악산로 48,(지번) 부암동 23-3,이탈리안
35,STORE_JRO0036,찬양집,서울 종로구 돈화문로11다길 5,(지번) 돈의동 27,국수
36,STORE_JRO0037,호호식당 대학로점,서울 종로구 대학로9길 35 1층,(지번) 명륜4가 143,일식
37,STORE_JRO0038,테라로사 광화문점,서울 종로구 종로1길 50,(지번) 중학동 19,커피전문점
38,STORE_JRO0039,백제정육점,서울 종로구 종로35길 34,(지번) 효제동 155,"육류,고기"
39,STORE_JRO0040,스미스가좋아하는한옥,서울 종로구 삼청로 22-7,(지번) 사간동 62-1,이탈리안
40,STORE_JRO0041,대성집,서울 종로구 사직로 5,(지번) 행촌동 209-35,해장국
41,STORE_JRO0042,아키비스트,서울 종로구 효자로13길 52,(지번) 효자동 164-7,카페
42,STORE_JRO0043,포비 광화문점,서울 종로구 종로3길 17 광화문D타워 1층 21호,(지번) 청진동 246,카페
43,STORE_JRO0044,진진수라 광화문점,서울 종로구 종로5길 7 타워8빌딩 지하 2층 201-206호,(지번) 청진동 128,한정식
44,STORE_JRO0045,라그릴리아 광화문점,서울 종로구 청계천로 11 청계한국빌딩 2층,(지번) 서린동 149,이탈리안
45,STORE_JRO0046,육회자매집 본점1호점,서울 종로구 종로 200-4 지상1층,(지번) 종로4가 177,"육류,고기"
46,STORE_JRO0047,엄용백돼지국밥 종각점,서울 종로구 인사동3길 20,(지번) 인사동 194-28,국밥
47,STORE_JRO0048,에베레스트레스토랑 동대문점,서울 종로구 종로51가길 2-1 2층,(지번) 창신동 148-1,인도음식
48,STORE_JRO0049,스코프 부암점,서울 종로구 창의문로 149,(지번) 부암동 278-5,"제과,베이커리"
49,STORE_JRO0050,백부장집닭한마리 본관,서울 종로구 삼봉로 100-1,(지번) 공평동 129,닭요리
50,STORE_JRO0051,칸다소바 경복궁점,서울 종로구 자하문로7길 5 1층,(지번) 체부동 28-2,일본식라면
51,STORE_JRO0052,나누미떡볶이 성대본점,서울 종로구 성균관로 9-1,(지번) 명륜2가 225,떡볶이
