,place_code,ItemID,address,local,category
56,STORE_SD0057,갈십리,"서울 성동구 마조로 15-11 1, 2층",(지번) 행당동 19-108,디저트카페
57,STORE_SD0058,여음,서울 성동구 서울숲4길 26-24 1층,(지번) 성수동1가 668-59,일식
58,STORE_SD0059,행운돈까스,서울 성동구 마조로1길 2,(지번) 행당동 158-41,"돈까스,우동"
59,STORE_SD0060,자그마치,서울 성동구 성수이로 88 남정빌딩 1층,(지번) 성수동2가 317-12,커피전문점
60,STORE_SD0061,로우커피스탠드,서울 성동구 왕십리로4길 28-2 1층,(지번) 성수동1가 8-16,커피전문점
61,STORE_SD0062,엽기꼼닭발,서울 성동구 왕십리로22길 3,(지번) 도선동 50,닭요리
62,STORE_SD0063,그리드채플린 성수점,서울 성동구 아차산로7길 15-1 효정빌딩 1층,(지번) 성수동2가 289-21,"호프,요리주점"
63,STORE_SD0064,왕십리맛나곱창,서울 성동구 고산자로 281-1,(지번) 홍익동 130-1,"곱창,막창"
64,STORE_SD0065,카린지,서울 성동구 왕십리로4길 10-3 1층,(지번) 성수동1가 656-629,일식
65,STORE_SD0066,문화식당,서울 성동구 성수일로4길 45 2층,(지번) 성수동2가 310-21,퓨전요리
66,STORE_SD0067,메쉬커피,서울 성동구 서울숲길 43,(지번) 성수동1가 685-307,커피전문점
67,STORE_SD0068,글로우,서울 성동구 아차산로9길 20 1층,(지번) 성수동2가 277-24,카페
68,STORE_SD0069,서울숲빙봉,서울 성동구 서울숲2길 18-14,(지번) 성수동1가 685-456,양식
69,STORE_SD0070,바스버거 성수점,서울 성동구 왕십리로8길 16 1층,(지번) 성수동1가 656-1075,햄버거
70,STORE_SD0071,모멘토브루어스,서울 성동구 서울숲2길 19-18 1층,(지번) 성수동1가 685-325,카페
71,STORE_SD0072,비사벌 전주콩나물국밥,서울 성동구 왕십리로6길 1-2,(지번) 성수동1가 656-448,국밥
