,place_Code,ItemID,address,local,category
147,STORE_GC0148,스타벅스 가산에스케이점,서울 금천구 가산디지털1로 171,(지번) 가산동 371-41,커피전문점
148,STORE_GC0149,스시옥 본점,서울 금천구 시흥대로 399 씨티렉스 1층 108호,(지번) 독산동 291-5,"초밥,롤"
149,STORE_GC0150,청와삼대 가산점,서울 금천구 벚꽃로56길 190,(지번) 가산동 139-8,"족발,보쌈"
150,STORE_GC0151,샐러데이즈 금천구청역점,서울 금천구 시흥대로63길 56 1층,(지번) 시흥동 113-102,양식
151,STORE_GC0152,말뚝곱창 6호점,서울 금천구 벚꽃로 316 씨엔에스타워 1층 103호,(지번) 가산동 777,"곱창,막창"
152,STORE_GC0153,할리스 가산디지털단지점,서울 금천구 가산디지털1로 186 제이플라츠 1층,(지번) 가산동 459-11,커피전문점
153,STORE_GC0154,청보리한우,서울 금천구 가산로 49,(지번) 독산동 288-11,"육류,고기"
154,STORE_GC0155,정수장,서울 금천구 범안로17길 15,(지번) 독산동 331-30,중화요리
155,STORE_GC0156,투썸플레이스 시흥사거리점,서울 금천구 시흥대로 228 1층,(지번) 시흥동 883-7,커피전문점
156,STORE_GC0157,남문만두칼국수,서울 금천구 시흥대로 434,(지번) 독산동 159-19,국수
157,STORE_GC0158,명가교동짬뽕 가산디지털점,서울 금천구 디지털로9길 46 이앤씨드림타워7차 지상1층,(지번) 가산동 60-44,중화요리
158,STORE_GC0159,은행나무갈매기,서울 금천구 금하로 678,(지번) 시흥동 895-6,"육류,고기"
159,STORE_GC0160,소명생고기,서울 금천구 시흥대로 264,(지번) 시흥동 870-18,"육류,고기"
160,STORE_GC0161,김밥얌얌,서울 금천구 금하로 675,(지번) 시흥동 838-35,분식
161,STORE_GC0162,해피치애견카페,서울 금천구 시흥대로 351 류성빌딩 지하 101호,(지번) 독산동 1009-29,애견카페
162,STORE_GC0163,마피아피자,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동,(지번) 가산동 371-28,피자
163,STORE_GC0164,통파이브 가산디지털점,서울 금천구 벚꽃로 298 대륭포스트타워6차 2층,(지번) 가산동 50-3,"호프,요리주점"
164,STORE_GC0165,누리한방삼계탕,서울 금천구 가산디지털1로 186 제이플라츠 지하 1층 B118-3호,(지번) 가산동 459-11,삼계탕
165,STORE_GC0166,까페로드,서울 금천구 범안로 1152,(지번) 독산동 1003,카페
166,STORE_GC0167,브래드팩토리망캄,서울 금천구 시흥대로 371,(지번) 독산동 292-8,"제과,베이커리"
167,STORE_GC0168,폴린,서울 금천구 시흥대로56길 8 세종팰리스 102동 104호,(지번) 시흥동 890-17,디저트카페
168,STORE_GC0169,피자헛 가산점,서울 금천구 디지털로 206 1층,(지번) 가산동 140-29,피자
169,STORE_GC0170,우주라이크커피 가산디지털단지점,서울 금천구 가산로9길 12-8 지웰에스테이트2차 1층,(지번) 가산동 143-6,커피전문점
170,STORE_GC0171,투썸플레이스 독산사거리점,서울 금천구 시흥대로 422,(지번) 독산동 287-2,커피전문점
171,STORE_GC0172,미스터찜 본점,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동 2층 217호,(지번) 가산동 371-28,"해물,생선"
172,STORE_GC0173,펍피맥 가산디지털점,서울 금천구 벚꽃로 298 대륭포스트타워6차 124호,(지번) 가산동 50-3,피자
173,STORE_GC0174,스타벅스 W-mall점,서울 금천구 디지털로 188 B1,(지번) 가산동 60-27,커피전문점
174,STORE_GC0175,달리는커피 독산점,서울 금천구 시흥대로 341,(지번) 독산동 1009-74,커피전문점
175,STORE_GC0176,차림,서울 금천구 가산디지털1로 131 BYC하이시티 C동 지하1층,(지번) 가산동 371-17,한정식
176,STORE_GC0177,팬더마라,서울 금천구 가산디지털1로 181 가산더블유센터 1층 114호,(지번) 가산동 371-106,중식
177,STORE_GC0178,탐나종합어시장 금천구청역점,"서울 금천구 시흥대로73길 67 1층 118, 119호",(지번) 시흥동 1031,회
178,STORE_GC0179,퐁퐁플라워 가산센터,서울 금천구 벚꽃로 278 롯데아울렛 3층,(지번) 가산동 60-19,키즈카페
179,STORE_GC0180,돌솥밥남원추어탕,서울 금천구 금하로 642,(지번) 시흥동 884-8,추어
180,STORE_GC0181,명화곱창,서울 금천구 벚꽃로38길 5,(지번) 가산동 43-1,"곱창,막창"
181,STORE_GC0182,명가네삼겹살,서울 금천구 가산디지털1로 186 제이플라츠 지하1층 B112호,(지번) 가산동 459-11,"육류,고기"
182,STORE_GC0183,배스킨라빈스 금천가산점,서울 금천구 가산로 111 동보빌딩,(지번) 가산동 153-1,아이스크림
183,STORE_GC0184,도미노피자 시흥점,서울 금천구 독산로 3,(지번) 시흥동 904-21,피자
184,STORE_GC0185,프랑세즈과자점,서울 금천구 남부순환로 1392,(지번) 독산동 876-3,"제과,베이커리"
185,STORE_GC0186,순풍훠궈,서울 금천구 시흥대로 390,(지번) 독산동 1012-16,중식
186,STORE_GC0187,항방양육관 시흥점,서울 금천구 시흥대로52길 49 1층,(지번) 시흥동 889-4,양꼬치
187,STORE_GC0188,청년다방 금천구청점,서울 금천구 시흥대로 291 1층 B20호,(지번) 독산동 1155,떡볶이
188,STORE_GC0189,투뿔205,서울 금천구 디지털로9길 99 스타밸리 115호,(지번) 가산동 60-11,"육류,고기"
189,STORE_GC0190,팔람까오 가산2호점,서울 금천구 가산디지털1로 205 KCC웰츠밸리 1층,(지번) 가산동 470-8,태국음식
190,STORE_GC0191,신선설농탕 독산점,서울 금천구 시흥대로 405 1층,(지번) 독산동 289-7,설렁탕
191,STORE_GC0192,서울집 독산점,서울 금천구 시흥대로122길 24,(지번) 독산동 1013-9,한식
192,STORE_GC0193,동남집,서울 금천구 가산디지털1로 219 벽산디지털밸리6차 1층,(지번) 가산동 481-4,한식
193,STORE_GC0194,BHC치킨 디지털점,서울 금천구 가산로9길 12-8 213호,(지번) 가산동 143-6,치킨
194,STORE_GC0195,오복식당,서울 금천구 금하로 650,(지번) 시흥동 885-6,순대
195,STORE_GC0196,샐러드로,서울 금천구 두산로 70 현대지식산업센터 로비층 124호,(지번) 독산동 291-1,카페
196,STORE_GC0197,빽다방 가산대륭점,서울 금천구 벚꽃로 298 대륭포스트타워6차 107-2호,(지번) 가산동 50-3,커피전문점
197,STORE_GC0198,명륜진사갈비 시흥사거리점,서울 금천구 시흥대로 266,(지번) 시흥동 870-10,갈비
198,STORE_GC0199,수뿌레닭갈비 금천구청점,서울 금천구 시흥대로71길 44,(지번) 시흥동 124-10,닭요리
199,STORE_GC0200,플레잉디오븐,서울 금천구 벚꽃로 278 SJ테크노빌 지하1층 137호,(지번) 가산동 60-19,디저트카페
200,STORE_GC0201,홍콩반점0410 가산대륭점,서울 금천구 벚꽃로 298 대륭포스트6차 1층 102호,(지번) 가산동 50-3,중화요리
201,STORE_GC0202,도미노피자 가산점,서울 금천구 가산로 146,(지번) 가산동 142-42,피자
202,STORE_GC0203,스시천,서울 금천구 벚꽃로 298 대륭포스트타워 6차 1층 115호,(지번) 가산동 50-3,"초밥,롤"
203,STORE_GC0204,원조양평서울해장국,서울 금천구 디지털로9길 32,(지번) 가산동 60-5,해장국
204,STORE_GC0205,빌리엔젤 마리오아울렛점,서울 금천구 벚꽃로 266 마리오아울렛 3관 6층,(지번) 가산동 60-20,디저트카페
205,STORE_GC0206,도원 중식당,서울 금천구 범안로 1130,(지번) 가산동 685,중화요리
206,STORE_GC0207,가산황소곱창,서울 금천구 가산디지털1로 168 우림라이온스밸리 지하3층 A-B323호,(지번) 가산동 371-28,"곱창,막창"
207,STORE_GC0208,말뚝곱창 가산본점,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동 2층 224호,(지번) 가산동 371-28,"곱창,막창"
208,STORE_GC0209,원조홍어회집,서울 금천구 금하로14길 2-3,(지번) 시흥동 886-12,회
209,STORE_GC0210,포36거리 가산디지털단지점,서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 112호,(지번) 가산동 60-15,동남아음식
210,STORE_GC0211,소소떡볶이 독산점,서울 금천구 독산로78길 10,(지번) 독산동 192-8,떡볶이
211,STORE_GC0212,매드포갈릭 가산현대아울렛점,서울 금천구 디지털로10길 9 8층,(지번) 가산동 60-8,패밀리레스토랑
212,STORE_GC0213,교촌치킨 독산2동점,서울 금천구 시흥대로 310,(지번) 독산동 1059-4,치킨
213,STORE_GC0214,남다른감자탕 가산디지털역점,서울 금천구 디지털로9길 99,(지번) 가산동 60-11,감자탕
214,STORE_GC0215,포차천국 가산동점,서울 금천구 남부순환로108길 27 1층,(지번) 가산동 145-15,실내포장마차
215,STORE_GC0216,투썸플레이스 가산하이엔드클래식점,서울 금천구 벚꽃로24길 26 1층,(지번) 가산동 219-6,커피전문점
216,STORE_GC0217,샐러디 가산디지털단지점,서울 금천구 가산디지털1로 181,(지번) 가산동 371-106,샐러드
217,STORE_GC0218,미각 아구동태해물찜탕,서울 금천구 금하로 673,(지번) 시흥동 839-49,"해물,생선"
218,STORE_GC0219,제주먹돈 가산점,서울 금천구 두산로5길 61 1층,(지번) 가산동 237-34,"육류,고기"
219,STORE_GC0220,C27 현대시티아울렛 가산점,서울 금천구 디지털로10길 9 7층,(지번) 가산동 60-8,디저트카페
220,STORE_GC0221,신장면옥,서울 금천구 가산로 106 101호,(지번) 가산동 772,냉면
221,STORE_GC0222,동대문엽기떡볶이 가산디지털단지점,서울 금천구 벚꽃로 254 월드메르디앙벤처센터 1층 104-4호,(지번) 가산동 60-24,떡볶이
222,STORE_GC0223,생활맥주 가산디지털점,서울 금천구 벚꽃로 298 대륭포스트타워6차상가 1층,(지번) 가산동 50-3,"호프,요리주점"
223,STORE_GC0224,힛더스팟 가산점,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 1층,(지번) 가산동 60-8,"제과,베이커리"
224,STORE_GC0225,미가양꼬치,서울 금천구 벚꽃로42길 5,(지번) 가산동 40-15,양꼬치
225,STORE_GC0226,정미혜몽돌아구동태찜탕,서울 금천구 독산로 358,(지번) 독산동 960-15,아구
226,STORE_GC0227,먹쉬돈나,서울 금천구 벚꽃로 266 마리오아울렛3관 12층,(지번) 가산동 60-20,떡볶이
227,STORE_GC0228,구구함박,서울 금천구 시흥대로 291 롯데캐슬3차 상가1층 125호,(지번) 독산동 1155,양식
228,STORE_GC0229,BHC치킨 시흥사거리점,서울 금천구 시흥대로52길 49,(지번) 시흥동 889-4,치킨
229,STORE_GC0230,경성시장 가산점,서울 금천구 가산디지털2로 14,(지번) 가산동 327-35,카페
230,STORE_GC0231,달코미롱,서울 금천구 남부순환로108길 20-1 로뎀아트빌 101호,(지번) 가산동 142-33,"제과,베이커리"
231,STORE_GC0232,파파도나스 독산점,서울 금천구 시흥대로 352 103호,(지번) 독산동 1031,"제과,베이커리"
232,STORE_GC0233,교촌치킨 시흥2호점,서울 금천구 은행나무로 12,(지번) 시흥동 905-5,치킨
233,STORE_GC0234,강촌,서울 금천구 벚꽃로42길 3,(지번) 가산동 40-1,오리
234,STORE_GC0235,맘스터치 가산디지털단지역점,서울 금천구 벚꽃로 298,(지번) 가산동 50-3,패스트푸드
235,STORE_GC0236,스윗밸런스 가산더블유센터점,서울 금천구 가산디지털1로 181 가산더블유센터 1층 118호,(지번) 가산동 371-106,양식
236,STORE_GC0237,짬뽕명가,서울 금천구 시흥대로 106-1,(지번) 시흥동 940-1,중화요리
237,STORE_GC0238,곱창의전설 시흥본점,서울 금천구 금하로 639-1,(지번) 시흥동 879-109,"곱창,막창"
238,STORE_GC0239,로얄스윗,서울 금천구 벚꽃로 234 110호,(지번) 가산동 60-25,카페
239,STORE_GC0240,혜화동돈까스,서울 금천구 금하로5길 4 가우디캐슬 1층,(지번) 시흥동 122-8,"돈까스,우동"
240,STORE_GC0241,돌담집,서울 금천구 독산로50나길 12,(지번) 시흥동 3-63,"해물,생선"
241,STORE_GC0242,하남돼지집 가산디지털역점,서울 금천구 가산디지털1로 186 제이플라츠 지하 1층,(지번) 가산동 459-11,삼겹살
242,STORE_GC0243,반포식스 독산점,서울 금천구 두산로 70 현대지식산업센터 A동 102호,(지번) 독산동 291-1,동남아음식
243,STORE_GC0244,수라냉면,서울 금천구 금하로 633-1 1층,(지번) 시흥동 879-24,냉면
244,STORE_GC0245,고기원칙 가산하스모나점,서울 금천구 가산디지털1로 171 SK V1센터 2층,(지번) 가산동 371-41,"육류,고기"
245,STORE_GC0246,빽다방 금천시흥사거리점,서울 금천구 금하로 619,(지번) 시흥동 999-48,커피전문점
246,STORE_GC0247,곱창나라,서울 금천구 가산로 144,(지번) 가산동 142-41,"곱창,막창"
247,STORE_GC0248,오치생참치,서울 금천구 가산디지털1로 128 STX-V타워 지하 1층 B134호,(지번) 가산동 371-37,참치회
248,STORE_GC0249,투썸플레이스 석수역점,"서울 금천구 시흥대로 8 아르스파크 1층 101호, 2층 201호",(지번) 시흥동 979-4,커피전문점
249,STORE_GC0250,천수만 바지락칼국수낙지마당,서울 금천구 시흥대로 414,(지번) 독산동 287-7,국수
250,STORE_GC0251,파파존스 금천점,서울 금천구 시흥대로 152 2층,(지번) 시흥동 936-5,피자
251,STORE_GC0252,커피심리학,서울 금천구 시흥대로 84 윤빌딩 1층,(지번) 시흥동 954-17,카페
252,STORE_GC0253,스타벅스 마리오아울렛점,서울 금천구 벚꽃로 266 마리오 3관1층,(지번) 가산동 60-20,커피전문점
253,STORE_GC0254,담소소사골순대육개장 가산디지털점,서울 금천구 디지털로9길 99 스타벨리 1층,(지번) 가산동 60-11,순대
254,STORE_GC0255,벨라 디저트카페,서울 금천구 두산로5길 7,(지번) 독산동 335-8,디저트카페
255,STORE_GC0256,말뚝곱창 독산7호점,서울 금천구 범안로 1250,(지번) 독산동 1035-4,"곱창,막창"
256,STORE_GC0257,마쯔,서울 금천구 시흥대로 414 서울빌딩 2층 201호,(지번) 독산동 287-7,일식집
257,STORE_GC0258,신전떡볶이 가산점,서울 금천구 가산로5길 72,(지번) 가산동 236-11,떡볶이
258,STORE_GC0259,파리바게뜨 독산4동점,서울 금천구 독산로75길 3 1층,(지번) 독산동 1019-2,"제과,베이커리"
259,STORE_GC0260,연안식당 가산디지털점,서울 금천구 디지털로9길 32 갑을그레이트밸리 1층 101호,(지번) 가산동 60-5,"해물,생선"
260,STORE_GC0261,고창민물풍천장어,서울 금천구 시흥대로 237-14,(지번) 시흥동 999-41,장어
261,STORE_GC0262,강촌숯불닭갈비 독산점,서울 금천구 독산로75길 24,(지번) 독산동 196-27,닭요리
262,STORE_GC0263,참토우식당 독산8호점,서울 금천구 독산로 255,(지번) 독산동 195-3,"육류,고기"
263,STORE_GC0264,코야키친,서울 금천구 시흥대로 399,(지번) 독산동 291-6,일본식주점
264,STORE_GC0265,장수갈비,서울 금천구 시흥대로56길 18,(지번) 시흥동 891-19,갈비
265,STORE_GC0266,니하우 이사장요리,서울 금천구 벚꽃로40길 29,(지번) 가산동 42-6,중화요리
266,STORE_GC0267,빠촉삼겹살,서울 금천구 시흥대로58길 13 1층,(지번) 시흥동 885-11,삼겹살
267,STORE_GC0268,몽짬뽕,서울 금천구 금하로24길 31 1층,(지번) 시흥동 917-23,중화요리
268,STORE_GC0269,한솥도시락 가산디지털단지점,서울 금천구 가산디지털2로 108 뉴티캐슬 1층 106호,(지번) 가산동 429-1,도시락
269,STORE_GC0270,말뚝곱창 금천롯데캐슬점,서울 금천구 시흥대로 291 금천롯데캐슬골드파크3차 상가 1층 174호,(지번) 독산동 441-14,"곱창,막창"
270,STORE_GC0271,투썸플레이스 가산대륭18차점,서울 금천구 가산디지털1로 19 1층 104호,(지번) 가산동 670-2,커피전문점
271,STORE_GC0272,전주 닭칼국수바지락칼국수,서울 금천구 가산디지털2로 138-3,(지번) 가산동 458-30,국수
272,STORE_GC0273,태영생막창 독산점,서울 금천구 벚꽃로6길 3 금천이랜드해가든아파트 상가 1층,(지번) 독산동 1143,"곱창,막창"
273,STORE_GC0274,은하철도곱곱곱 가산디지털점,서울 금천구 가산로 147,(지번) 가산동 140-9,"곱창,막창"
