,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
787,GC000788,STORE_GC0178,탐나종합어시장 금천구청역점,1df570h,맛있고 홀도 널찍하고 천장 높아서 좋아요 테이블마다 칸막이 되어있어서 더 좋네요,5,2021.01.27.
788,GC000789,STORE_GC0179,퐁퐁플라워 가산센터,1j9d3i9,깨끗하고 넓고 좋은것 같아요,4,2021.05.05.
789,GC000790,STORE_GC0179,퐁퐁플라워 가산센터,1i0mob7,매장도 넓고 시설도 깨끗해서 정말 맘에 드네요  놀이가 이것저것 많아서 더 좋은 거 같아요,5,2021.03.29.
790,GC000791,STORE_GC0179,퐁퐁플라워 가산센터,166etbg,안에 공기도 깨끗하고 애들이먹는 음식도 괜찮았어요,5,2021.02.26.
791,GC000792,STORE_GC0179,퐁퐁플라워 가산센터,12o6u0v,사랑해요    ,4,2020.11.13.
792,GC000793,STORE_GC0179,퐁퐁플라워 가산센터,7n5vii,장점 색감이 알록달록함 댄스타임에 애들이 좋아함  단점 공기청정기 없음 화장실 내 손씻고 종이타월이나 핸드드라이기가 없어서 곤란 식당만큼의 테이블과 의자(개인적으로 테이블공간만큼 애들 놀이시설이 더 있는게 좋음)  재방문의사는 없음,3,2019.12.31.
793,GC000794,STORE_GC0180,돌솥밥남원추어탕,kaseut,정갈하고 아주좋다,5,2021.04.05.
794,GC000795,STORE_GC0180,돌솥밥남원추어탕,mve04g,몇년째 매번찾는 맛집이에요! 아버지때문에 알게된 곳인데~ 추어탕 원래 못먹는데 유일하게 먹을 수 있는 추어탕이네요. 돌솥밥까지 나오는데 가성비 촤고입니다! 포장하면 밥대신 추어탕을 더 많이줘서 여러번 나눠먹기도 좋아요! 다만 한가지 아쉬운점은 대로변에 있어 주차가 불편해요.,5,2020.09.06.
795,GC000796,STORE_GC0180,돌솥밥남원추어탕,rh76p2,점수로 얘기함 8000 원으로 내리셨음,5,2020.03.27.
796,GC000797,STORE_GC0180,돌솥밥남원추어탕,NaN,NaN,4,2017.05.14.
