,ItemID,address,local,category
169,스윗밸런스 목동타우요가점,"서울 양천구 목동서로 186 목동성우네트빌 1층 101,102호",(지번) 목동 919,양식
170,카페프롬나즈데떼,서울 양천구 오목로 300 206동상가 1층,(지번) 목동 961-1,카페
171,지호한방삼계탕 목동점,서울 강서구 등촌로 69 우덕빌딩 1층,(지번) 등촌동 566-20,닭요리
172,훠궈야 목동점,서울 양천구 목동동로 293,(지번) 목동 917-9,중식
173,이디야 등촌중앙점,서울 강서구 등촌로 67 컴스웨이빌딩 1층,(지번) 등촌동 566-26,커피전문점
174,반포식스 목동점,서울 양천구 목동동로 293 현대41타워 3층,(지번) 목동 917-9,동남아음식
175,창의력공장 목동점,서울 양천구 목동로 234 경원빌딩 3층,(지번) 목동 808-1,키즈카페
176,파파존스 목동점,서울 양천구 목동서로 213 세신프라자 2층,(지번) 목동 923,피자
177,써브웨이 오목교점,서울 양천구 오목로 315,(지번) 목동 406-244,샌드위치
178,커피하오,서울 양천구 목동중앙로 103-1,(지번) 목동 222-26,커피전문점
179,스타벅스 목동행복한점,서울 양천구 목동동로 309,(지번) 목동 917-6,커피전문점
180,목동평양면옥,서울 양천구 목동서로 57,(지번) 목동 907-10,냉면
181,계림원 목동점,서울 양천구 등촌로 48,(지번) 목동 787-20,치킨
182,천미방마라탕,서울 양천구 오목로54길 1 1층 103호,(지번) 목동 405-300,중식
183,베러댄와플 등촌2점,서울 강서구 등촌로13길 24,(지번) 등촌동 572-17,"제과,베이커리"
184,메가커피 목동시장점,서울 양천구 목동중앙남로11길 8,(지번) 목동 719-12,커피전문점
185,파리바게뜨 목동사거리점,서울 양천구 등촌로 34 1층,(지번) 목동 792-3,"제과,베이커리"
186,에그드랍 목동역점,서울 양천구 목동로 211,(지번) 신정동 900-20,샌드위치
187,오복가마솥순대국,서울 강서구 등촌로 43,(지번) 화곡동 775-6,순대
188,유빈양꼬치 본점,서울 양천구 신정중앙로23길 11,(지번) 신정동 890-19,양꼬치
189,남도미담생고기,서울 양천구 목동중앙서로6길 20-27,(지번) 목동 805-5,"육류,고기"
190,태영생막창 목동점,서울 양천구 목동서로 133-2,(지번) 목동 905-34,"곱창,막창"
191,북창동순두부 목동점,서울 양천구 목동서로 155 지하1층,(지번) 목동 917,두부전문점
192,초한초마,서울 양천구 목동로15길 8,(지번) 신정동 997-6,중화요리
193,이차돌 목동로데오점,서울 양천구 신정중앙로 101 1층,(지번) 신정동 888-37,"육류,고기"
194,스타벅스 목동트라팰리스점,서울 양천구 오목로 299,(지번) 목동 962,커피전문점
195,본죽 목동사거리점,서울 양천구 등촌로 32 태영플라자 104호,(지번) 목동 792-4,죽
196,걸작떡볶이치킨 서울목동점,서울 양천구 등촌로 48-1 1층,(지번) 목동 787-1,분식
197,고기좋은날,서울 강서구 등촌로3길 22,(지번) 화곡동 780-7,"육류,고기"
198,대합수제비,서울 양천구 목동로 216,(지번) 목동 808-31,수제비
199,하나미 목동로데오점,서울 양천구 신정중앙로23길 13,(지번) 신정동 890-18,"돈까스,우동"
200,명륜진사갈비 오목교역점,서울 양천구 목동동로 258 2층,(지번) 목동 934,갈비
201,후라이드참잘하는집 목동점,서울 양천구 목동중앙남로 24,(지번) 목동 767-11,치킨
202,아웃닭 목동점,서울 양천구 목동동로 256 2층,(지번) 목동 406-223,치킨
203,대포항,서울 양천구 오목로50길 1,(지번) 신정동 994-8,회
204,삼숙이갈비 목동역점,서울 양천구 목동로21길 6 1층,(지번) 신정동 992-7,갈비
205,가장맛있는족발 목동점,서울 강서구 곰달래로 268,(지번) 화곡동 779-2,"족발,보쌈"
206,목동족발,서울 양천구 목동동로 226-3,(지번) 목동 406-80,"족발,보쌈"
207,오지상노카에루,서울 양천구 신정중앙로 76,(지번) 신정동 905-5,일본식주점
208,영산강국내산민물장어,서울 강서구 등촌로13길 20,(지번) 등촌동 567-19,장어
209,동대문엽기떡볶이 등촌점,서울 강서구 등촌로13길 12 1층,(지번) 등촌동 567-17,떡볶이
210,원조소문난뼈해장국 전주식당,서울 양천구 등촌로 80,(지번) 목동 730-6,해장국
211,북경대반점,서울 양천구 오목로48길 2,(지번) 신정동 991-7,중화요리
212,아모르버터,서울 양천구 오목로48길 20-1,(지번) 신정동 998-15,디저트카페
213,커피도가,서울 양천구 목동중앙본로 78 2층,(지번) 목동 42-107,카페
214,그곳,"서울 양천구 등촌로 46-1 1,2층",(지번) 목동 787-18,디저트카페
215,청년피자 목동점,서울 양천구 목동중앙남로3길 47 지하2층 201호,(지번) 목동 781-33,피자
216,송추가마골인어반 목동점,서울 양천구 목동동로 293 현대41타워 3층,(지번) 목동 917-9,갈비
217,소문난바지락칼국수,서울 양천구 목동서로 155,(지번) 목동 917,국수
218,구텐스테이크하우스,서울 양천구 목동동로 293 현대41타워 1층 117호,(지번) 목동 917-9,"스테이크,립"
219,이춘봉인생치킨 서울목동점,서울 양천구 목동중앙서로 13,(지번) 목동 790-23,치킨
220,카페화목토,서울 양천구 목동로11길 5,(지번) 신정동 1008-12,카페
221,담윤순대국,서울 양천구 등촌로 66,(지번) 목동 731-10,"찌개,전골"
222,냉면을부탁해 목동직영점,서울 양천구 목동중앙서로 43,(지번) 목동 774-9,냉면
223,고쿠텐 목동점,서울 양천구 목동동로 233-1 103호,(지번) 목동 923-14,일식집
224,신촌갈비국밥 화곡점,서울 강서구 곰달래로 242 1층,(지번) 화곡동 793-12,국밥
225,전어때요,서울 강서구 곰달래로53길 14,(지번) 화곡동 799-15,"호프,요리주점"
226,미미간장게장,서울 양천구 목동중앙로 43 글로리파크 1층 104호,(지번) 목동 773-3,"게,대게"
227,72420 목동점,서울 양천구 오목로50길 23 문창오피스텔 101호,(지번) 신정동 1006-1,베트남음식
228,카멜리온,서울 양천구 오목로 196 1층,(지번) 신정동 987-1,"제과,베이커리"
229,오태식해바라기치킨 목동사거리점,서울 양천구 목동중앙서로1길 6,(지번) 목동 791-8,치킨
230,불타는여고24시떡볶이 화곡점,서울 강서구 등촌로13길 34,(지번) 화곡동 504-16,떡볶이
231,제주은희네해장국 양천목동점,서울 양천구 오목로 321-1 서경빌딩 1층,(지번) 목동 406-36,해장국
232,파리바게뜨 목동역점,서울 양천구 목동로 210 목동타운빌딩 104호,(지번) 목동 810-1,"제과,베이커리"
233,원조춘천숯불닭갈비,서울 양천구 신목로 98 1층,(지번) 목동 404-137,닭요리
234,하남돼지집 목동점,서울 양천구 신정중앙로 68 해풍빌딩 1층,(지번) 신정동 905-2,삼겹살
235,죠스떡볶이 목동역점,서울 양천구 목동로 210 목동타운빌딩 103호,(지번) 목동 810-1,떡볶이
236,할리스 목동예술인회관점,서울 양천구 목동서로 225 1층,(지번) 목동 923-6,커피전문점
237,대박감자탕,서울 강서구 곰달래로 255,(지번) 화곡동 797-3,감자탕
238,메가커피 목동사거리점,서울 강서구 곰달래로 272 102호,(지번) 화곡동 781-13,커피전문점
239,열린공간,서울 양천구 목동중앙서로 46-1,(지번) 목동 799-6,"호프,요리주점"
240,향촌숯불갈비,서울 양천구 목동중앙서로 46,(지번) 목동 799-5,갈비
241,사눅타이,서울 양천구 목동로15길 8,(지번) 신정동 997-6,태국음식
242,현경 목동점,서울 양천구 오목로 312 지하 1층,(지번) 목동 405-276,중화요리
243,특돼지 목동1호점,서울 양천구 오목로50길 1 1층,(지번) 신정동 994-8,"육류,고기"
244,목동양꼬치 목동본점,서울 양천구 신정중앙로 99 1층,(지번) 신정동 888-36,양꼬치
245,헬로방방 목동점,서울 양천구 신월로 387 유앤미법조빌딩 지하1층,(지번) 신정동 1009-4,키즈카페
246,유토리,서울 양천구 목동서로 246-1 1층,(지번) 목동 406-142,일본식주점
247,퀸즈브라운 목동역점,서울 양천구 오목로46길 6 1층,(지번) 신정동 989-10,카페
248,큐브 목동본점,서울 양천구 목동로25길 16,(지번) 신정동 895-26,보드카페
249,산쪼메 목동점,서울 양천구 목동동로 339 목동트윈빌 103호,(지번) 목동 905-22,일본식라면
250,시루향기,서울 양천구 오목로 279,(지번) 목동 406-4,국밥
251,훠밍당마라탕 목동점,서울 양천구 목동로 224 대원칸타빌1차아파트상가 101동 1층 103-2호,(지번) 목동 808-5,중식
252,C27 현대백화점목동점,서울 양천구 목동동로 257 1층,(지번) 목동 916,카페
253,육쌈냉면 목동로데오점,서울 양천구 신정중앙로 107,(지번) 신정동 900-13,냉면
254,지랄닭발 목동점,서울 강서구 등촌로3나길 5,(지번) 화곡동 787-21,닭요리
255,모모일식,서울 양천구 목동서로 213 세신비젼프라자 409호,(지번) 목동 923,회
256,뜰방숯불구이,서울 강서구 곰달래로58길 7-15,(지번) 화곡동 779-19,"육류,고기"
257,대박곱창 본점,서울 양천구 오목로 170 태남프라자 1층,(지번) 신정동 949-3,"곱창,막창"
258,스타벅스 목동점,서울 양천구 목동서로 67,(지번) 목동 907-4,커피전문점
259,대합탕수제비,서울 양천구 목동동로 350 목동아파트 5단지 B상가,(지번) 목동 912,수제비
260,곤드레밥집 목동점,서울 양천구 목동동로 293 목동41타워 3층,(지번) 목동 917-9,한정식
261,최배달떡순튀 화곡점,서울 강서구 곰달래로 246,(지번) 화곡동 794-32,분식
262,이야시,서울 강서구 곰달래로 269,(지번) 화곡동 778-3,일식집
263,매머드커피 목동점,서울 양천구 목동서로 221 굿모닝탑오피스텔 110호,(지번) 목동 923-15,커피전문점
264,모듬집,서울 양천구 목동중앙서로1길 12,(지번) 목동 791-5,복어
265,배스킨라빈스 목1동점,서울 양천구 목동서로 250 풍성빌딩 1층,(지번) 목동 408-40,아이스크림
266,엉터리생고기 목동점,서울 양천구 오목로 276 1층,(지번) 목동 408-114,"육류,고기"
267,정광균의순수한빵생활,서울 양천구 목동중앙남로 12 1층,(지번) 목동 764-5,"제과,베이커리"
268,들깨수제비 바지락칼국수,서울 양천구 목동중앙서로 36-12,(지번) 목동 798-13,국수
269,미스터빠삭 화곡점,서울 강서구 등촌로 65 101동 B102호,(지번) 등촌동 721,"돈까스,우동"
270,라화쿵푸마라탕쌀국수전문점 목동역점,서울 양천구 신정중앙로23길 8-1,(지번) 신정동 900-7,중식
271,경복궁 목동점,서울 양천구 목동동로 189 삼성쉐르빌1 지하1층,(지번) 신정동 318-10,한정식
272,굿모닝김밥,서울 양천구 목동서로 221,(지번) 목동 923-15,분식
273,목동해밀 본점,서울 양천구 목동동로 339 1층 110호,(지번) 목동 905-22,"돈까스,우동"
274,아라부대찌개 목동직영점,서울 양천구 오목로 232 보성팰리스,(지번) 신정동 992-2,"찌개,전골"
275,어사출또 목동점,서울 양천구 신정중앙로 65 1층,(지번) 신정동 885-19,"해물,생선"
276,목동양대창,서울 양천구 오목로46길 32 1층,(지번) 신정동 1012-25,"곱창,막창"
277,오부장치킨 목동점,서울 양천구 목동중앙남로 35,(지번) 목동 727-29,치킨
278,어가생선구이,서울 양천구 목동중앙남로 51-1,(지번) 목동 725-26,"해물,생선"
279,백채김치찌개 목동점,서울 양천구 목동로15길 5 1층,(지번) 신정동 1005-7,"찌개,전골"
