거
고기,손님,구,화장,실감,공기밥,달라,세번,얘기,양파,테이블,후식,저희,테이블,신건,후식,줌
집,고기,화장실,손님,구,건,뭔가,후식,일부러,안준,건가,우리,테이블,물,달라,세번,그릇,달라,번,한번,반찬,고기랑,찌개,달라,번,겨우,찌개,밥,직원,교육,좀,기분,고기
손님,말,직원,근무,곳
우한,폐렴
홈쇼핑,팩,게,일부러,기분,상하,돈,직원,고기,양도,안,것
변두리,동네,가족,모임,곳,별로,여기,아주,고자세,배짱,장사
갈비탕,예전,양
일부러,명품,갈비탕,그,뚝배기,달랑,갈비,덩어리,당황,양,맛,갈비탕,맛,주위,경쟁,업,소가,불친철,건,덤
명품,갈비탕,양,좀,것,주문,고,바로,옆,말,해도,못,척,계산,해도,못,척
직도,영업
내,평,어의,여기,누소,뉴스,기사도,참고,안,간다,밑,별,개,리,사람,평이,누,소평,하나
직원,보기
아버지,순,예약,가장,한정식,음식,듬회,것,최악,듬,해물,전골,판,한판,게,상,국물,악취,국물,입,상한,맛,때문,상황,냄새,악취,총괄,매니저,분,이
가격표,나중,계산,때,안,창살,도둑,놈
단체,뜨내기,손님,상대로,뽕,진수,개인,경험,뽕,논산훈련소,앞,식당
왜,사람,돈,데,수,완전
처음,주말,토요일,저녁,완전,도깨비,시장,예약,종업원,호출,몇번,해도,볼,생각,몇번,짜증,좀,메뉴,어복,쟁반,중,개,갈비찜,대자,개,개,만두,접시,냉면,비냉,회냉,어복,쟁반,갈비찜,맛,맛,맵,개뿔,달달
결제,때,영수증,쌍,년도,동남아,무슨,금액,뻥튀기,다시,결제,씨,티비,보라,하니,보지,계속,저희,무슨,발뺌,아주,취소,어른,분,참고,기분,식
여기,진짜,맛,갈비탕,퍽퍽,냉면,면,뿔,별로,주방,가요
점,곳,직원,고기,질,기고,돈
밥맛,곳
최악,고기,빈,반찬,그게
예전,갈비탕,명성,기억,갈비탕,그냥,맛,고기

바,처,카드,잔액,남아,저녁,꽃등,질,기고,한우,갈비탕,뼈,조각,도봉,지역,급식,역시,실망,예전,생,갈비,주문,소량,생산,그다음,미리,문해,기대,양념,소갈비,기억,은,숯
값,거세,소,한우,판곳,안감
주문,지나,재료,확인
돈,쓰레기,식당,극혐
고기,질,기고,돈,곳,서빙,여직원,정말,최악,별,개도,곳
매우,야멸찬,양주,사람,것,아주,가격
자동,앞,좌석,배정,문,때,마다,찬,바람,다리,에일,듯,종업원,얘길,퉁,자동,문,수,오리,털,코트,다리,냉면,귀가,대기업,식당,앞,좌석,배치,무지,고생,만두,왜,종업원,식당,내부,완전,비위생적,모습
포장,갈비탕,재료,운송,유통,기한,경과,제품,보관,등,비위생적,환경,작업,것,조사
